recording_id,species_key,scientific_name,common_name,author,rating,latitude,longitude,file_path,split_role
XC1053050,baffal1,Micrastur ruficollis,Barred Forest-Falcon,JAYRSON ARAUJO DE OLIVEIRA,5.0,-29.4244,-50.3875,data/BirdClef/train_audio/baffal1/XC1053050.ogg,gallery
XC306404,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Lia Nahomi Kajiki,5.0,-29.1835,-50.0054,data/BirdClef/train_audio/baffal1/XC306404.ogg,gallery
XC308551,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Lia Nahomi Kajiki,4.0,-29.1835,-50.0054,data/BirdClef/train_audio/baffal1/XC308551.ogg,gallery
XC308549,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Lia Nahomi Kajiki,3.5,-29.1835,-50.0054,data/BirdClef/train_audio/baffal1/XC308549.ogg,gallery
XC181441,baffal1,Micrastur ruficollis,Barred Forest-Falcon,João Gava,4.0,-28.6494,-49.6695,data/BirdClef/train_audio/baffal1/XC181441.ogg,gallery
XC530447,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Miguel Angelo Biz,4.0,-27.2011,-49.7349,data/BirdClef/train_audio/baffal1/XC530447.ogg,gallery
XC241380,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Luis Pradier,4.0,-27.1599,-55.3586,data/BirdClef/train_audio/baffal1/XC241380.ogg,gallery
XC488911,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Miguel Angelo Biz,4.0,-27.1389,-49.7118,data/BirdClef/train_audio/baffal1/XC488911.ogg,gallery
XC574467,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Luis Seko Pradier,4.0,-27.1001,-54.8834,data/BirdClef/train_audio/baffal1/XC574467.ogg,gallery
XC455087,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Rosendo Manuel Fraga,3.0,-26.9334,-54.2167,data/BirdClef/train_audio/baffal1/XC455087.ogg,gallery
XC209308,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Fabricio Gorleri,5.0,-26.7966,-59.6056,data/BirdClef/train_audio/baffal1/XC209308.ogg,gallery
XC665655,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Paulo Sillig,4.0,-26.745,-49.0663,data/BirdClef/train_audio/baffal1/XC665655.ogg,gallery
XC1025401,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Guillermo Menéndez (gmmv80),5.0,-26.6277,-55.6616,data/BirdClef/train_audio/baffal1/XC1025401.ogg,gallery
XC1012407,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Marcos E. Sosa,4.0,-25.6965,-54.335,data/BirdClef/train_audio/baffal1/XC1012407.ogg,gallery
XC585002,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Dante Gabriel Moresco,3.0,-25.6785,-54.4507,data/BirdClef/train_audio/baffal1/XC585002.ogg,gallery
XC652011,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Dante Gabriel Moresco,5.0,-25.5985,-54.5476,data/BirdClef/train_audio/baffal1/XC652011.ogg,gallery
