species_key,scientific_name,common_name,alasan_eksklusi
1161364,Guyalna cuta,Guyalna cuta,Non-Aves (Insecta); Bukan koleksi XC
116570,Caiman yacare,Southern Spectacled Caiman,Non-Aves (Reptilia); Bukan koleksi XC
1176823,Leptodactylus luctator,Wrestler Frog,Non-Aves (Amphibia); Bukan koleksi XC
1595929,Lysapsus limellum,Uruguay Harlequin Frog,Non-Aves (Amphibia)
209233,Equus caballus,Feral Horse,Non-Aves (Mammalia); Bukan koleksi XC
22930,Leptodactylus syphax,Basin White-lipped Frog,Non-Aves (Amphibia)
22956,Leptodactylus mystacinus,Mustached Frog,Non-Aves (Amphibia)
22961,Leptodactylus podicipinus,Pointedbelly Frog,Non-Aves (Amphibia)
22967,Leptodactylus elenae,Marbled White-lipped Frog,Non-Aves (Amphibia); Bukan koleksi XC
22973,Leptodactylus fuscus,Whistling Grass Frog,Non-Aves (Amphibia)
22983,Leptodactylus labyrinthicus,Pepper Frog,Non-Aves (Amphibia); Bukan koleksi XC
22985,Leptodactylus petersii,Peter's Jungle Frog,Non-Aves (Amphibia)
23150,Physalaemus centralis,Central Dwarf Frog,Non-Aves (Amphibia); Bukan koleksi XC
23154,Physalaemus albifrons,Bahia Dwarf Frog,Non-Aves (Amphibia); Bukan koleksi XC
23158,Physalaemus albonotatus,Pale-legged Weeping Frog,Non-Aves (Amphibia)
23176,Pseudopaludicola mystacalis,Cope's Swamp Froglet,Non-Aves (Amphibia)
23724,Phyllomedusa sauvagii,Waxy Monkey Tree Frog,Non-Aves (Amphibia); Bukan koleksi XC
24279,Scinax nasicus,Lesser Snouted Tree Frog,Non-Aves (Amphibia)
24285,Scinax fuscovarius,Snouted Tree Frog,Non-Aves (Amphibia)
24287,Scinax fuscomarginatus,Brown-bordered Snouted Tree Frog,Non-Aves (Amphibia)
24321,Scinax acuminatus,Mato Grosso Snouted Tree Frog,Non-Aves (Amphibia); Bukan koleksi XC
244024,Quesada gigas,Giant Cicada,Non-Aves (Insecta); Bukan koleksi XC
25092,Elachistocleis bicolor,Two-colored oval frog,Non-Aves (Amphibia)
25214,Dermatonotus muelleri,Muller's Termite Frog,Non-Aves (Amphibia); Bukan koleksi XC
326272,Physalaemus biligonigerus,Weeping Frog,Non-Aves (Amphibia)
41970,Panthera onca,Jaguar,Non-Aves (Mammalia)
43435,Alouatta caraya,Black Howling Monkey,Non-Aves (Mammalia)
47144,Canis familiaris,Domestic Dog,Non-Aves (Mammalia)
476521,Physalaemus nattereri,Cuyaba Dwarf Frog,Non-Aves (Amphibia); Bukan koleksi XC
516975,Sapajus cay,Hooded Capuchin,Non-Aves (Mammalia); Bukan koleksi XC
555123,Boana lundii,Usina Tree Frog,Non-Aves (Amphibia); Bukan koleksi XC
555145,Boana punctata,Polka-dot Tree Frog,Non-Aves (Amphibia)
555146,Boana raniceps,Chaco Tree Frog,Non-Aves (Amphibia)
64898,Ameerega picta,Yungas de la Paz Poison Frog,Non-Aves (Amphibia)
65377,Dendropsophus minutus,Lesser Tree Frog,Non-Aves (Amphibia)
65380,Dendropsophus nanus,Dwarf Tree Frog,Non-Aves (Amphibia)
66971,Pseudis platensis,Paraguayan Swimming Frog,Non-Aves (Amphibia); Bukan koleksi XC
67107,Rhinella diptycha,Rococo Toad,Non-Aves (Amphibia)
67252,Trachycephalus typhonius,Milk Frog,Non-Aves (Amphibia)
70711,Leptodactylus macrosternum,Cei's White-lipped Frog,Non-Aves (Amphibia); Bukan koleksi XC
738183,Plecturocebus pallescens,White-coated Titi,Non-Aves (Mammalia)
74113,Bos taurus,Highland,Non-Aves (Mammalia)
74580,Mico melanurus,Black-tailed Marmoset,Non-Aves (Mammalia)
760266,Prionacris erosa,Prionacris erosa,Non-Aves (Insecta); Bukan koleksi XC
ashgre1,Hylophilus pectoralis,Ashy-headed Greenlet,Di luar kuota Top 20 author diversitas tertinggi
astcra1,Mustelirallus albicollis,Ash-throated Crake,Di luar kuota Top 20 author diversitas tertinggi
bafcur1,Crax fasciolata,Bare-faced Curassow,Di luar kuota Top 20 author diversitas tertinggi
batbel1,Procnias nudicollis,Bare-throated Bellbird,Di luar kuota Top 20 author diversitas tertinggi
baymac,Ara ararauna,Blue-and-yellow Macaw,Di luar kuota Top 20 author diversitas tertinggi
bbwduc,Dendrocygna autumnalis,Black-bellied Whistling Duck,Di luar kuota Top 20 author diversitas tertinggi
bcwfin2,Microspingus melanoleucus,Black-capped Warbling Finch,Di luar kuota Top 20 author diversitas tertinggi
bkcdon,Donacobius atricapilla,Black-capped Donacobius,Di luar kuota Top 20 author diversitas tertinggi
bkhpar,Aratinga nenday,Nanday Parakeet,Di luar kuota Top 20 author diversitas tertinggi
blchaw1,Busarellus nigricollis,Black-collared Hawk,Di luar kuota Top 20 author diversitas tertinggi
blheag1,Spizaetus tyrannus,Black Hawk-Eagle,Di luar kuota Top 20 author diversitas tertinggi
blttit1,Tityra cayana,Black-tailed Tityra,Di luar kuota Top 20 author diversitas tertinggi
bncfly,Myiarchus tyrannulus,Brown-crested Flycatcher,Di luar kuota Top 20 author diversitas tertinggi
brcmar1,Progne tapera,Brown-chested Martin,Di luar kuota Top 20 author diversitas tertinggi
brnowl,Tyto furcata,American Barn Owl,Di luar kuota Top 20 author diversitas tertinggi
bucmot4,Momotus momota,Amazonian Motmot,Di luar kuota Top 20 author diversitas tertinggi
bucpar,Thectocercus acuticaudatus,Blue-crowned Parakeet,Di luar kuota Top 20 author diversitas tertinggi
bufpar,Amazona aestiva,Turquoise-fronted Amazon,Di luar kuota Top 20 author diversitas tertinggi
bunibi1,Theristicus caudatus,Buff-necked Ibis,Di luar kuota Top 20 author diversitas tertinggi
burowl,Athene cunicularia,Burrowing Owl,Di luar kuota Top 20 author diversitas tertinggi
camfli1,Colaptes campestris,Campo Flicker,Di luar kuota Top 20 author diversitas tertinggi
