species_key,scientific_name,common_name,n_klip,n_author,rating_median
coffal1,Micrastur semitorquatus,Collared Forest-Falcon,253,129,4.0
sobtyr1,Camptostoma obsoletum,Southern Beardless Tyrannulet,331,126,4.0
greant1,Taraba major,Great Antshrike,337,124,4.0
squcuc1,Piaya cayana,Common Squirrel-Cuckoo,332,123,4.0
roahaw,Rupornis magnirostris,Roadside Hawk,243,122,4.0
trsowl,Megascops choliba,Tropical Screech Owl,234,122,4.0
banana,Coereba flaveola,Bananaquit,301,121,4.0
baffal1,Micrastur ruficollis,Barred Forest-Falcon,273,121,4.0
soulap1,Vanellus chilensis,Southern Lapwing,243,120,4.5
strcuc1,Tapera naevia,Striped Cuckoo,250,117,4.0
pabspi1,Synallaxis albescens,Pale-breasted Spinetail,214,117,4.0
yeofly1,Tolmomyias sulphurescens,Yellow-olive Flatbill,393,115,4.0
gycwor1,Aramides cajaneus,Grey-cowled Wood Rail,219,115,4.0
compau,Nyctidromus albicollis,Pauraque,206,115,4.5
barant1,Thamnophilus doliatus,Barred Antshrike,294,114,4.0
pirfly1,Legatus leucophaius,Piratic Flycatcher,288,114,4.0
linwoo1,Dryocopus lineatus,Lineated Woodpecker,254,113,4.0
whtdov,Leptotila verreauxi,White-tipped Dove,269,111,4.0
bobfly1,Megarynchus pitangua,Boat-billed Flycatcher,272,107,4.0
trokin,Tyrannus melancholicus,Tropical Kingbird,220,105,4.0
