id,species_key,scientific_name,common_name,is_endemic_sumatra,quality,recordist,date,time,country,locality,latitude,longitude,elevation,length_sec,license,url_page,url_audio,file_path,sha256,status
1082251,Apalharpactes mackloti,Apalharpactes mackloti,Sumatran Trogon,True,A,Kalvin Chan,2026-01-19,07:30,Indonesia,"Gunung Tujuh, Kerinci Regency, Jambi",-1.7099,,,0:18,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://xeno-canto.org/1082251,https://xeno-canto.org/1082251/download,data/xeno_canto/Apalharpactes mackloti/A/XC1082251 - Sumatran Trogon - Apalharpactes mackloti.mp3,330cfaaeeaba498e5bdf6a502dbb1c3c4cc82a90d84e0318a683b9475310ed0d,Ready_Existing
1082252,Apalharpactes mackloti,Apalharpactes mackloti,Sumatran Trogon,True,A,Kalvin Chan,2026-01-19,07:30,Indonesia,"Gunung Tujuh, Kerinci Regency, Jambi",-1.7099,,,0:34,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://xeno-canto.org/1082252,https://xeno-canto.org/1082252/download,data/xeno_canto/Apalharpactes mackloti/A/XC1082252 - Sumatran Trogon - Apalharpactes mackloti.mp3,bc0feb58bab37e9bc723d041526035d57fae241c9b0b3e5944512a126e00d08a,Ready_Existing
409514,Apalharpactes mackloti,Apalharpactes mackloti,Sumatran Trogon,True,A,Frank Lambert,2016-07-03,15:36,Indonesia,"Mount Kerinci, West Sumatra, Sumatra",-1.7342,,,0:33,https://creativecommons.org/licenses/by-nc-nd/4.0/,https://xeno-canto.org/409514,https://xeno-canto.org/409514/download,data/xeno_canto/Apalharpactes mackloti/A/XC409514 - Sumatran Trogon - Apalharpactes mackloti.mp3,7663593208d817fa6828df7b4cc839f9f258c8a2a23a193665a6627e43327ddb,Ready_Existing
409516,Apalharpactes mackloti,Apalharpactes mackloti,Sumatran Trogon,True,A,Frank Lambert,2016-07-04,08:00,Indonesia,"Mount Kerinci, West Sumatra, Sumatra",-1.7342,,,0:48,https://creativecommons.org/licenses/by-nc-nd/4.0/,https://xeno-canto.org/409516,https://xeno-canto.org/409516/download,data/xeno_canto/Apalharpactes mackloti/A/XC409516 - Sumatran Trogon - Apalharpactes mackloti.mp3,6030acaa5081aba83140e21c2dfa9b50e6b12e51f9423d6f9c3d8e83acdc0d60,Ready_Existing
374026,Apalharpactes mackloti,Apalharpactes mackloti,Sumatran Trogon,True,B,Kim Chuah Lim,2017-05-23,11:00,Indonesia,"Sumatra, Gunung Kerinci",-1.74,,,0:42,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://xeno-canto.org/374026,https://xeno-canto.org/374026/download,data/xeno_canto/Apalharpactes mackloti/B/XC374026 - Sumatran Trogon - Apalharpactes mackloti.mp3,e4e0747ab17556b38b50925b126f9b174ad611649dc2c4087880e5f139f64fec,Ready_Existing
621171,Apalharpactes mackloti,Apalharpactes mackloti,Sumatran Trogon,True,B,Rainforest Connection,2020-05-16,12:30,Indonesia,"Koto Parik Gadang Diateh, Kabupaten Solok Selatan, Sumatera Barat",-1.405,,,0:39,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://xeno-canto.org/621171,https://xeno-canto.org/621171/download,data/xeno_canto/Apalharpactes mackloti/B/XC621171 - Sumatran Trogon - Apalharpactes mackloti (1).mp3,b2ac74ccfb5fe2eb4ef09335017548ddb3e2af674c94e9f9d8b2d36d1d93306d,Ready_Existing
621171,Apalharpactes mackloti,Apalharpactes mackloti,Sumatran Trogon,True,B,Rainforest Connection,2020-05-16,12:30,Indonesia,"Koto Parik Gadang Diateh, Kabupaten Solok Selatan, Sumatera Barat",-1.405,,,0:39,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://xeno-canto.org/621171,https://xeno-canto.org/621171/download,data/xeno_canto/Apalharpactes mackloti/B/XC621171 - Sumatran Trogon - Apalharpactes mackloti.mp3,b2ac74ccfb5fe2eb4ef09335017548ddb3e2af674c94e9f9d8b2d36d1d93306d,Ready_Existing
691498,Apalharpactes mackloti,Apalharpactes mackloti,Sumatran Trogon,True,B,Mike Nelson,2016-08-24,11:30,Indonesia,"Mount Kerinci, West Sumatra, Sumatra",-1.7342,,,3:08,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://xeno-canto.org/691498,https://xeno-canto.org/691498/download,data/xeno_canto/Apalharpactes mackloti/B/XC691498 - Sumatran Trogon - Apalharpactes mackloti.mp3,d34f824ae108f8289add88a1ff53f12da781ef4f5f635e6f17e8129a10590928,Ready_Existing
374656,Apalharpactes mackloti,Apalharpactes mackloti,Sumatran Trogon,True,C,Kim Chuah Lim,2017-05-23,12:00,Indonesia,"Sumatra, Gunung Kerinci",-1.74,,,0:04,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://xeno-canto.org/374656,https://xeno-canto.org/374656/download,data/xeno_canto/Apalharpactes mackloti/C/XC374656 - Sumatran Trogon - Apalharpactes mackloti.mp3,22cf1f47c20761507e27bd3d3574f0293985e6b031f286534c020cdb9decffc9,Ready_Existing
499303,Apalharpactes mackloti,Apalharpactes mackloti,Sumatran Trogon,True,C,Ding Li Yong,2019-09-16,15:00,Indonesia,"Sumatra, Kabupaten Dairi, Sumatera Utara",2.8099,,,0:34,https://creativecommons.org/licenses/by-nc-nd/4.0/,https://xeno-canto.org/499303,https://xeno-canto.org/499303/download,data/xeno_canto/Apalharpactes mackloti/C/XC499303 - Sumatran Trogon - Apalharpactes mackloti.mp3,c840ba30944ef13ae19442100a50107286df1df0d9055712d2bf29e2149b9fbf,Ready_Existing
