case_id,failure_type,representation,query_id,species_key,recordist,condition,similarity_score,threshold_tau,primary_cause,diagnosis_and_threat
FAIL_001,False_Negative,R2,894701,Aethopyga_siparaja,Ding Li Yong,SNR_-5dB,0.6157,0.6488,low_snr_masking,Energi derau aditif pada SNR -5 dB mengaburkan struktur formulan vokal Aethopyga_siparaja.
FAIL_002,False_Negative,R2,106118,Batrachostomus_cornutus,Bram Demeulemeester,SNR_-5dB,0.6046,0.6488,low_snr_masking,Energi derau aditif pada SNR -5 dB mengaburkan struktur formulan vokal Batrachostomus_cornutus.
FAIL_003,False_Negative,R2,106120,Batrachostomus_cornutus,Bram Demeulemeester,SNR_-5dB,0.6301,0.6488,low_snr_masking,Energi derau aditif pada SNR -5 dB mengaburkan struktur formulan vokal Batrachostomus_cornutus.
FAIL_004,False_Negative,R2,431514,Brachypteryx_montana,Brian Cox,SNR_-5dB,0.6323,0.6488,low_snr_masking,Energi derau aditif pada SNR -5 dB mengaburkan struktur formulan vokal Brachypteryx_montana.
FAIL_005,False_Negative,R2,56938,Carpococcyx_viridis,Fabian Ducry &amp; David Marques,SNR_-5dB,0.615,0.6488,low_snr_masking,Energi derau aditif pada SNR -5 dB mengaburkan struktur formulan vokal Carpococcyx_viridis.
FAIL_006,False_Negative,R2,431494,Dicrurus_hottentottus,Brian Cox,SNR_-5dB,0.5149,0.6488,low_snr_masking,Energi derau aditif pada SNR -5 dB mengaburkan struktur formulan vokal Dicrurus_hottentottus.
FAIL_007,False_Negative,R2,176899,Dicrurus_hottentottus,Peter Wilton,SNR_-5dB,0.5338,0.6488,low_snr_masking,Energi derau aditif pada SNR -5 dB mengaburkan struktur formulan vokal Dicrurus_hottentottus.
FAIL_008,False_Negative,R2,931276,Dicrurus_hottentottus,Ding Li Yong,SNR_-5dB,0.5728,0.6488,low_snr_masking,Energi derau aditif pada SNR -5 dB mengaburkan struktur formulan vokal Dicrurus_hottentottus.
FAIL_009,False_Negative,R2,924367,Dicrurus_hottentottus,Ding Li Yong,SNR_-5dB,0.5661,0.6488,low_snr_masking,Energi derau aditif pada SNR -5 dB mengaburkan struktur formulan vokal Dicrurus_hottentottus.
FAIL_010,False_Negative,R2,823280,Dicrurus_hottentottus,Greg Irving,SNR_-5dB,0.5355,0.6488,low_snr_masking,Energi derau aditif pada SNR -5 dB mengaburkan struktur formulan vokal Dicrurus_hottentottus.
FAIL_011,False_Negative,R2,825282,Dicrurus_hottentottus,Greg Irving,SNR_-5dB,0.5622,0.6488,low_snr_masking,Energi derau aditif pada SNR -5 dB mengaburkan struktur formulan vokal Dicrurus_hottentottus.
FAIL_012,False_Negative,R2,825283,Dicrurus_hottentottus,Greg Irving,SNR_-5dB,0.5749,0.6488,low_snr_masking,Energi derau aditif pada SNR -5 dB mengaburkan struktur formulan vokal Dicrurus_hottentottus.
FAIL_013,False_Negative,R2,176898,Dicrurus_hottentottus,Peter Wilton,SNR_-5dB,0.5731,0.6488,low_snr_masking,Energi derau aditif pada SNR -5 dB mengaburkan struktur formulan vokal Dicrurus_hottentottus.
FAIL_014,False_Negative,R2,648652,Gypsophila_rufipectus,Ding Li Yong,SNR_-5dB,0.6278,0.6488,low_snr_masking,Energi derau aditif pada SNR -5 dB mengaburkan struktur formulan vokal Gypsophila_rufipectus.
FAIL_015,False_Negative,R2,648651,Gypsophila_rufipectus,Ding Li Yong,SNR_-5dB,0.6621,0.6488,low_snr_masking,Energi derau aditif pada SNR -5 dB mengaburkan struktur formulan vokal Gypsophila_rufipectus.
FAIL_016,False_Negative,R2,537745,Halcyon_smyrnensis,Advento,SNR_-5dB,0.5808,0.6488,low_snr_masking,Energi derau aditif pada SNR -5 dB mengaburkan struktur formulan vokal Halcyon_smyrnensis.
FAIL_017,False_Negative,R2,481181,Halcyon_smyrnensis,Prayitno Goenarto,SNR_-5dB,0.5848,0.6488,low_snr_masking,Energi derau aditif pada SNR -5 dB mengaburkan struktur formulan vokal Halcyon_smyrnensis.
FAIL_018,False_Negative,R2,530111,Malacopteron_affine,Matt Slaymaker,SNR_-5dB,0.6251,0.6488,low_snr_masking,Energi derau aditif pada SNR -5 dB mengaburkan struktur formulan vokal Malacopteron_affine.
FAIL_019,False_Negative,R2,578766,Malacopteron_affine,Muhammad Iqbal,SNR_-5dB,0.5881,0.6488,low_snr_masking,Energi derau aditif pada SNR -5 dB mengaburkan struktur formulan vokal Malacopteron_affine.
FAIL_020,False_Negative,R2,431536,Napothera_albostriata,Brian Cox,SNR_-5dB,0.5715,0.6488,low_snr_masking,Energi derau aditif pada SNR -5 dB mengaburkan struktur formulan vokal Napothera_albostriata.
FAIL_021,False_Negative,R2,648646,Napothera_albostriata,Ding Li Yong,SNR_-5dB,0.6341,0.6488,low_snr_masking,Energi derau aditif pada SNR -5 dB mengaburkan struktur formulan vokal Napothera_albostriata.
FAIL_022,False_Negative,R2,431533,Napothera_albostriata,Brian Cox,SNR_-5dB,0.635,0.6488,low_snr_masking,Energi derau aditif pada SNR -5 dB mengaburkan struktur formulan vokal Napothera_albostriata.
FAIL_023,False_Negative,R2,195587,Napothera_albostriata,Marc Thibault,SNR_-5dB,0.6083,0.6488,low_snr_masking,Energi derau aditif pada SNR -5 dB mengaburkan struktur formulan vokal Napothera_albostriata.
FAIL_024,False_Negative,R2,895144,Orthotomus_ruficeps,Ding Li Yong,SNR_-5dB,0.5998,0.6488,low_snr_masking,Energi derau aditif pada SNR -5 dB mengaburkan struktur formulan vokal Orthotomus_ruficeps.
FAIL_025,False_Negative,R2,604617,Orthotomus_ruficeps,Prayitno Goenarto,SNR_-5dB,0.575,0.6488,low_snr_masking,Energi derau aditif pada SNR -5 dB mengaburkan struktur formulan vokal Orthotomus_ruficeps.
FAIL_026,False_Negative,R2,570921,Spilornis_cheela,Muhammad Iqbal,SNR_-5dB,0.5716,0.6488,low_snr_masking,Energi derau aditif pada SNR -5 dB mengaburkan struktur formulan vokal Spilornis_cheela.
FAIL_027,False_Negative,R2,965048,Spilornis_cheela,Daan Drukker,SNR_-5dB,0.608,0.6488,low_snr_masking,Energi derau aditif pada SNR -5 dB mengaburkan struktur formulan vokal Spilornis_cheela.
FAIL_028,False_Negative,R2,431514,Brachypteryx_montana,Brian Cox,Clean,0.6574,0.6488,acoustic_feature_overlap,Struktur vokal Brachypteryx_montana memiliki keserupaan akustik dengan galeri spesies berkerabat dekat.
FAIL_029,False_Negative,R2,56938,Carpococcyx_viridis,Fabian Ducry &amp; David Marques,Clean,0.6187,0.6488,acoustic_feature_overlap,Struktur vokal Carpococcyx_viridis memiliki keserupaan akustik dengan galeri spesies berkerabat dekat.
FAIL_030,False_Negative,R2,176898,Dicrurus_hottentottus,Peter Wilton,Clean,0.6335,0.6488,acoustic_feature_overlap,Struktur vokal Dicrurus_hottentottus memiliki keserupaan akustik dengan galeri spesies berkerabat dekat.
