representation,condition,snr_db,mAP@10,Recall@10,Precision@10,Top1_Accuracy,relative_retention,absolute_drop
R0,Clean,999,0.10286232932889466,0.1001682422343116,0.16489361702127658,0.35106382978723405,1.0,0.0
R0,SNR_20dB,20,0.07698569833764869,0.09801074252362042,0.14468085106382977,0.22340425531914893,0.7484343280958827,0.025876630991245972
R0,SNR_10dB,10,0.0549272989337579,0.07979048760123789,0.1202127659574468,0.11702127659574468,0.5339884804487748,0.04793503039513677
R0,SNR_0dB,0,0.04094393785883147,0.05172618534880573,0.09468085106382977,0.1276595744680851,0.3980459914330373,0.06191839147006319
R0,SNR_-5dB,-5,0.02816858747044917,0.040235651184699336,0.07340425531914893,0.05319148936170213,0.27384745858109244,0.07469374185844549
R1,Clean,999,0.20690637011305701,0.16804736261623157,0.27765957446808515,0.44680851063829785,1.0,0.0
R1,SNR_20dB,20,0.18901935478683202,0.16277641762244224,0.26063829787234044,0.44680851063829785,0.9135501951126432,0.017887015326224998
R1,SNR_10dB,10,0.16018074250976985,0.15456350853327336,0.2372340425531915,0.3617021276595745,0.7741701834614588,0.04672562760328716
R1,SNR_0dB,0,0.0756211771548651,0.08398997357004076,0.1351063829787234,0.2127659574468085,0.3654850119575558,0.1312851929581919
R1,SNR_-5dB,-5,0.04381050883710458,0.053460451455972176,0.09361702127659575,0.14893617021276595,0.21174074443994065,0.16309586127595244
R2,Clean,999,0.587617206555593,0.4295679979470573,0.623404255319149,0.7872340425531915,1.0,0.0
R2,SNR_20dB,20,0.573640943374986,0.4182651114594003,0.6085106382978723,0.8085106382978723,0.9762153609106665,0.013976263180607074
R2,SNR_10dB,10,0.5561176662351308,0.40009382896560947,0.5914893617021276,0.776595744680851,0.946394455490673,0.031499540320462205
R2,SNR_0dB,0,0.5090805471124621,0.3681394255862341,0.5468085106382978,0.7553191489361702,0.8663472434657157,0.07853665944313093
R2,SNR_-5dB,-5,0.47095535613772693,0.34577635472652263,0.5138297872340426,0.7127659574468085,0.8014662451739677,0.11666185041786609
R3,Clean,999,0.020919171451086342,0.034748356346900586,0.05851063829787234,0.031914893617021274,1.0,0.0
R3,SNR_20dB,20,0.019372959585725543,0.04040628837381357,0.06595744680851064,0.0425531914893617,0.9260863715861699,0.001546211865360799
R3,SNR_10dB,10,0.029483192213055436,0.04346944178131188,0.06808510638297872,0.10638297872340426,1.4093862312851957,-0.008564020761969094
R3,SNR_0dB,0,0.02360984464707869,0.033289722906184274,0.06170212765957447,0.06382978723404255,1.1286223597470741,-0.0026906731959923484
R3,SNR_-5dB,-5,0.020271023302938198,0.03346621898693567,0.060638297872340416,0.031914893617021274,0.969016547827257,0.0006481481481481442
