query_id,species_key,author,top1_match,max_similarity,total_relevant_in_gallery,reciprocal_rank,P@10,R@10,AP@10,representation
XC1011212,coffal1,Jacob Wijpkema,baffal1,0.992039680480957,171,0.125,0.2,0.011695906432748537,0.0325,R0
XC518849,coffal1,Marcelo da Rocha,banana,0.9931313395500183,171,0.034482758620689655,0.0,0.0,0.0,R0
XC640029,coffal1,Ciro Albano,compau,0.9972987771034241,171,0.5,0.4,0.023391812865497075,0.1775,R0
XC238626,coffal1,Niels Krabbe,roahaw,0.9960699081420898,171,0.05263157894736842,0.0,0.0,0.0,R0
XC580510,coffal1,Kent Livezey,bobfly1,0.9922335743904114,171,0.09090909090909091,0.0,0.0,0.0,R0
XC841725,coffal1,Niels Krabbe,trsowl,0.9944460391998291,171,0.3333333333333333,0.1,0.005847953216374269,0.03333333333333333,R0
XC909155,coffal1,Luis Gomez,sobtyr1,0.9956451654434204,171,0.5,0.3,0.017543859649122806,0.19166666666666665,R0
XC597587,coffal1,Erik Camilo Gaitán López,barant1,0.9939500093460083,171,0.2,0.2,0.011695906432748537,0.042222222222222223,R0
XC514068,coffal1,David Bradley,roahaw,0.995782196521759,171,0.16666666666666666,0.2,0.011695906432748537,0.041666666666666664,R0
XC915055,coffal1,Rodrigo Y Castro,coffal1,0.9999998807907104,171,1.0,0.4,0.023391812865497075,0.26,R0
XC504846,sobtyr1,Iván Lau,barant1,0.994948148727417,221,0.25,0.1,0.004524886877828055,0.025,R0
XC764623,sobtyr1,Niels Krabbe,yeofly1,0.9960984587669373,221,0.1111111111111111,0.1,0.004524886877828055,0.01111111111111111,R0
XC653903,sobtyr1,Jacob Wijpkema,pabspi1,0.9976564049720764,221,0.07142857142857142,0.0,0.0,0.0,R0
XC176886,sobtyr1,Douglas Meyer,sobtyr1,0.995947003364563,221,1.0,0.5,0.02262443438914027,0.4425,R0
XC580800,sobtyr1,Javier Ricardo Salamanca-Reyes,bobfly1,0.9966041445732117,221,0.03333333333333333,0.0,0.0,0.0,R0
XC763522,sobtyr1,GABRIEL LEITE,yeofly1,0.9964342713356018,221,0.25,0.1,0.004524886877828055,0.025,R0
XC612769,sobtyr1,Fabrice Schmitt,pirfly1,0.9938995242118835,221,0.05263157894736842,0.0,0.0,0.0,R0
XC135348,sobtyr1,Dan Lane,pirfly1,0.9958240985870361,221,0.05263157894736842,0.0,0.0,0.0,R0
XC1062368,sobtyr1,Jacob Wijpkema,banana,0.9922100901603699,221,0.041666666666666664,0.0,0.0,0.0,R0
XC653904,sobtyr1,Jacob Wijpkema,yeofly1,0.997203528881073,221,0.1,0.1,0.004524886877828055,0.01,R0
XC348691,greant1,Blas Fandiño,pirfly1,0.9860236644744873,223,0.09090909090909091,0.0,0.0,0.0,R0
XC397818,greant1,Federico Ferrer,greant1,0.9944773316383362,223,1.0,0.6,0.026905829596412557,0.5583333333333333,R0
XC50033,greant1,Bernabe Lopez-Lanus,greant1,0.9933598637580872,223,1.0,0.2,0.008968609865470852,0.13333333333333333,R0
XC388556,greant1,Marcelo Jordani Feliti,bobfly1,0.9932295680046082,223,0.5,0.2,0.008968609865470852,0.07857142857142857,R0
